kabupaten,primer_q1,primer_q2,primer_q3,primer_q4,primer_tahun,sekunder_q1,sekunder_q2,sekunder_q3,sekunder_q4,sekunder_tahun,tersier_q1,tersier_q2,tersier_q3,tersier_q4,tersier_tahun,pdrb_q1,pdrb_q2,pdrb_q3,pdrb_q4,pdrb_tahun
Simeulue,336.03,361.73,342.16,384.35,1424.28,69.42,73.79,86.13,89.69,319.03,389.84,410.82,445.62,448.31,1694.60,795.30,846.34,873.91,922.36,3437.91
Aceh Singkil,317.32,323.24,355.27,368.79,1364.62,126.47,138.56,148.30,145.68,559.01,437.36,459.84,464.45,459.21,1820.86,881.16,921.65,968.02,973.68,3744.49
Aceh Selatan,687.96,748.91,702.80,700.14,2839.82,332.70,341.58,365.74,373.44,1413.46,895.41,969.59,979.79,937.11,3781.89,1916.07,2060.09,2048.33,2010.69,8035.17
Aceh Tenggara,784.75,837.72,778.71,843.55,3244.74,124.19,125.80,132.76,129.66,512.41,821.44,875.50,862.55,913.59,3473.07,1730.38,1839.01,1774.02,1886.80,7230.21
Aceh Timur,1943.18,1987.23,2083.10,2051.73,8065.24,409.41,425.13,456.39,436.48,1727.41,1448.73,1512.63,1520.78,1446.17,5928.31,3801.32,3924.99,4060.27,3934.38,15720.96
Aceh Tengah,1343.70,1273.40,1352.90,1586.55,5556.55,337.69,340.46,369.51,359.57,1407.24,1084.96,1140.63,1205.18,1109.00,4539.77,2766.35,2754.50,2927.59,3055.12,11503.56
Aceh Barat,2021.53,2044.99,2084.50,1971.81,8122.83,309.65,320.75,374.93,429.72,1435.05,1335.61,1313.96,1290.97,1330.33,5270.88,3666.80,3679.70,3750.40,3731.86,14828.76
Aceh Besar,1470.89,1302.76,1301.97,1386.53,5462.15,911.98,978.06,1028.83,1009.73,3928.60,2364.04,2587.87,2606.31,2606.19,10164.41,4746.90,4868.70,4937.11,5002.45,19555.16
Pidie,1701.73,1676.36,1740.30,1912.26,7030.65,314.37,315.43,332.90,348.51,1311.21,1709.86,1848.54,1837.01,1824.48,7219.89,3725.96,3840.33,3910.21,4085.26,15561.75
Bireuen,1659.49,1837.53,1747.50,2003.27,7247.79,467.50,467.60,473.61,479.50,1888.20,2558.91,2713.75,2702.02,2713.09,10687.77,4685.90,5018.88,4923.12,5195.86,19823.76
Aceh Utara,4386.12,4238.82,4422.28,4077.68,17124.89,810.89,935.53,925.60,901.60,3573.61,2449.34,2628.32,2552.36,2481.01,10111.03,7646.35,7802.67,7900.23,7460.28,30809.53
Aceh Barat Daya,479.60,477.53,514.76,482.62,1954.51,204.70,220.00,237.55,258.72,920.97,679.27,745.79,744.07,743.63,2912.77,1363.57,1443.32,1496.38,1484.98,5788.24
Gayo Lues,390.90,389.06,427.89,437.05,1644.90,167.73,182.62,184.74,177.35,712.44,347.33,369.71,365.21,360.40,1442.66,905.96,941.39,977.84,974.80,3799.99
Aceh Tamiang,1823.98,1701.08,1690.35,1696.75,6912.15,414.06,385.46,398.61,406.95,1605.08,831.70,908.46,912.59,835.81,3488.55,3069.73,2995.00,3001.55,2939.51,12005.78
Nagan Raya,1997.37,2002.92,2048.19,2365.55,8414.04,379.07,394.26,424.68,442.36,1640.37,765.02,840.19,842.90,805.36,3253.47,3141.47,3237.37,3315.77,3613.27,13307.88
Aceh Jaya,318.30,333.30,364.57,393.73,1409.89,159.46,191.00,206.00,227.30,783.76,400.67,412.30,422.31,449.83,1685.10,878.42,936.59,992.88,1070.86,3878.75
Bener Meriah,973.17,909.68,996.38,1100.20,3979.43,255.69,272.29,279.32,265.84,1073.14,478.59,513.02,526.76,482.95,2001.32,1707.46,1694.98,1802.46,1848.99,7053.89
Pidie Jaya,583.32,616.68,615.86,642.89,2458.75,113.43,113.84,120.20,111.88,459.35,513.08,524.83,534.37,524.16,2096.43,1209.82,1255.34,1270.42,1278.93,5014.53
Kota Banda Aceh,100.80,96.48,141.18,175.38,513.85,525.47,504.48,595.74,629.23,2254.92,5887.74,6212.35,6499.64,6594.95,25194.69,6514.02,6813.31,7236.57,7399.57,27963.46
Kota Sabang,37.41,38.85,41.56,43.61,161.42,135.60,140.95,156.25,172.51,605.32,286.24,303.14,305.78,312.07,1207.23,459.25,482.94,503.58,528.19,1973.97
Kota Langsa,186.26,188.97,183.28,178.45,736.97,333.23,340.75,348.64,346.74,1369.36,1357.01,1413.27,1414.66,1431.80,5616.74,1876.51,1942.98,1946.58,1956.99,7723.06
Kota Lhokseumawe,297.37,308.04,313.12,317.74,1236.27,905.02,919.16,944.95,950.88,3720.01,1862.37,1952.70,1962.68,1986.88,7764.63,3064.76,3179.90,3220.75,3255.49,12720.91
Kota Subulussalam,191.36,194.16,203.42,214.26,803.20,219.90,235.45,259.66,264.39,979.40,288.89,307.63,302.75,306.21,1205.49,700.15,737.23,765.83,784.86,2988.08
Nias,807.18,824.61,838.20,846.93,3316.91,136.85,138.07,146.02,149.57,570.50,432.54,447.09,449.38,452.40,1781.40,1376.56,1409.76,1433.60,1448.89,5668.82
Mandailing Natal,2771.56,2844.04,2898.55,2798.84,11312.99,1147.88,1166.98,1193.96,1222.87,4731.70,1448.24,1511.53,1467.65,1571.82,5999.23,5367.68,5522.55,5560.17,5593.53,22043.92
Tapanuli Selatan,3315.59,3544.54,3751.93,3527.64,14139.70,903.61,939.56,976.41,982.71,3802.30,1360.51,1418.18,1390.52,1526.79,5696.01,5579.71,5902.28,6118.87,6037.15,23638.00
Tapanuli Tengah,1752.17,1809.56,1832.54,1731.36,7125.64,815.39,835.17,859.42,855.34,3365.32,1005.68,1028.10,1035.75,999.17,4068.69,3573.24,3672.84,3727.71,3585.87,14559.65
Tapanuli Utara,1307.65,1380.20,1376.74,1380.16,5444.76,460.14,461.41,467.86,479.09,1868.51,1154.93,1180.28,1175.70,1227.55,4738.47,2922.73,3021.90,3020.31,3086.81,12051.74
Toba Samosir,846.10,847.92,873.92,850.81,3418.75,632.87,651.11,672.17,678.76,2634.91,1158.59,1169.76,1199.30,1250.56,4778.20,2637.56,2668.79,2745.40,2780.13,10831.86
Labuhan Batu,3879.04,4101.86,4343.58,4332.90,16657.38,5223.19,5377.14,5708.32,5676.72,21985.37,3926.28,4007.62,3975.84,4276.78,16186.52,13028.51,13486.62,14027.74,14286.40,54829.28
Asahan,6682.48,7073.64,7395.23,7197.41,28348.76,3949.16,4026.19,4167.42,4174.50,16317.26,4434.16,4580.20,4688.94,4774.92,18478.22,15065.79,15680.03,16251.60,16146.83,63144.24
Simalungun,9000.16,9347.56,9562.80,9506.34,37416.86,2798.71,2875.23,2941.93,3086.97,11702.84,3770.28,3870.03,3936.99,4113.16,15690.47,15569.15,16092.82,16441.73,16706.47,64810.17
Dairi,1471.83,1501.84,1519.72,1528.11,6021.50,422.83,425.82,439.21,444.16,1732.02,1406.69,1448.14,1465.91,1542.80,5863.55,3301.35,3375.80,3424.85,3515.07,13617.06
Karo,4096.04,4060.15,4077.46,3734.21,15967.86,790.87,805.07,818.02,838.86,3252.82,2673.13,2783.60,2793.94,2991.47,11242.13,7560.04,7648.82,7689.42,7564.54,30462.81
Deli Serdang,4610.92,4802.68,5216.72,4690.97,19321.29,17622.38,17935.45,18655.88,18390.39,72604.11,16876.50,17238.09,17348.85,18859.04,70322.47,39109.80,39976.23,41221.45,41940.40,162247.88
Langkat,8707.59,9128.55,9375.84,9689.28,36901.26,3387.19,3492.61,3675.50,3786.63,14341.93,4112.05,4219.41,4169.94,4407.42,16908.83,16206.82,16840.57,17221.29,17883.34,68152.02
Nias Selatan,1209.15,1224.52,1236.46,1247.18,4917.32,326.71,339.35,347.73,356.78,1370.58,814.89,833.70,828.41,864.74,3341.74,2350.75,2397.58,2412.60,2468.70,9629.63
Humbang Hasundutan,967.74,994.70,1019.60,1000.97,3983.01,333.49,337.61,348.49,366.57,1386.16,835.47,860.74,868.23,897.47,3461.91,2136.70,2193.05,2236.31,2265.01,8831.08
Pakpak Bharat,264.83,266.67,269.22,271.04,1071.76,44.97,45.21,47.31,57.63,195.11,147.06,149.01,150.00,158.72,604.80,456.87,460.89,466.52,487.39,1871.67
Samosir,804.14,821.54,816.33,821.27,3263.29,197.11,194.22,196.14,200.97,788.44,597.95,626.40,608.42,624.61,2457.39,1599.20,1642.16,1620.90,1646.85,6509.11
Serdang Bedagai,5174.17,5356.25,5731.27,5480.22,21741.91,2854.05,2931.23,2986.37,2991.84,11763.49,3063.06,3145.60,3148.73,3357.41,12714.80,11091.27,11433.08,11866.37,11829.48,46220.20
Batu Bara,2854.36,2926.72,3084.38,2978.91,11844.37,6231.65,6411.96,6722.25,6550.79,25916.65,3238.19,3357.04,3432.95,3599.10,13627.27,12324.20,12695.71,13239.58,13128.81,51388.29
Padang Lawas Utara,2076.44,2150.70,2264.18,2294.92,8786.24,1410.09,1459.16,1530.39,1562.23,5961.86,1157.33,1186.25,1187.44,1257.87,4788.89,4643.86,4796.11,4982.01,5115.01,19536.99
Padang Lawas,2661.35,2768.57,2944.06,2943.47,11317.45,1428.85,1474.00,1548.86,1599.05,6050.76,769.85,790.85,790.88,836.13,3187.71,4860.05,5033.42,5283.80,5378.65,20555.91
Labuhan Batu Selatan,3719.23,3880.32,4031.99,3987.88,15619.42,5196.44,5304.58,5538.87,5523.21,21563.10,2153.34,2223.53,2287.16,2323.96,8987.98,11069.00,11408.43,11858.01,11835.05,46170.50
Labuhan Batu Utara,3983.67,4136.14,4298.94,4289.26,16708.00,3070.06,3161.06,3277.14,3349.20,12857.46,2399.79,2488.15,2547.56,2676.89,10112.39,9453.52,9785.35,10123.64,10315.34,39677.85
Nias Utara,744.31,756.69,758.59,774.40,3034.00,112.35,113.02,113.51,114.42,453.30,394.64,402.97,413.82,429.57,1641.00,1251.30,1272.69,1285.92,1318.39,5128.29
Nias Barat,375.20,378.00,381.04,386.16,1520.40,65.10,65.36,65.66,70.52,266.63,217.08,219.70,221.45,226.44,884.68,657.39,663.05,668.14,683.13,2671.71
Kota Sibolga,327.64,344.20,337.01,330.20,1339.04,320.66,316.95,322.70,321.67,1281.97,1210.21,1245.42,1260.59,1237.76,4953.99,1858.51,1906.57,1920.29,1889.62,7575.00
Kota Tanjung Balai,474.02,491.21,500.47,503.12,1968.82,1174.51,1177.48,1209.54,1291.60,4853.13,1540.00,1570.67,1578.24,1630.42,6319.33,3188.53,3239.36,3288.25,3425.14,13141.28
Kota Pematang Siantar,67.28,67.70,69.63,71.08,275.70,1292.51,1321.58,1341.11,1379.25,5334.45,3108.75,3177.06,3221.11,3334.03,12840.95,4468.54,4566.34,4631.85,4784.36,18451.10
Kota Tebing Tinggi,27.92,27.94,28.90,28.78,113.53,507.23,512.89,521.10,537.11,2078.33,1479.79,1509.00,1523.88,1560.51,6073.17,2014.94,2049.83,2073.87,2126.40,8265.04
Kota Medan,761.83,808.21,817.33,838.17,3225.54,27150.40,27976.50,28608.57,28286.26,112021.73,55918.68,59040.62,60903.15,62179.53,238041.98,83830.91,87825.33,90329.05,91303.96,353289.26
Kota Binjai,223.23,227.16,226.28,226.93,903.60,921.41,944.14,974.61,963.22,3803.37,2859.52,2976.45,3032.99,3068.42,11937.39,4004.17,4147.74,4233.88,4258.57,16644.36
Kota Padangsidimpuan,260.26,248.54,257.46,256.85,1023.11,322.61,326.50,338.06,350.93,1338.10,1631.39,1662.22,1716.03,1761.49,6771.12,2214.26,2237.27,2311.55,2369.27,9132.34
Kota Gunungsitoli,321.92,325.62,329.06,330.23,1306.84,356.52,370.64,371.83,374.41,1473.40,1196.86,1203.83,1214.75,1251.42,4866.87,1875.31,1900.09,1915.65,1956.06,7647.11
Kepulauan Mentawai,790.96,813.58,815.41,852.85,3272.80,251.50,256.64,273.90,281.98,1064.03,556.33,570.68,553.17,573.78,2253.95,1598.79,1640.90,1642.48,1708.61,6590.78
Pesisir Selatan,2047.75,2001.27,2055.55,2186.73,8291.30,883.65,891.84,952.61,944.64,3672.74,2062.94,2116.84,2062.47,2151.05,8393.31,4994.35,5009.95,5070.64,5282.42,20357.36
Solok,1964.83,1917.04,1919.32,1825.64,7626.83,672.88,683.20,744.80,728.47,2829.35,2196.58,2297.17,2227.58,2235.28,8956.61,4834.29,4897.40,4891.71,4789.39,19412.79
Sijunjung,1333.51,1352.96,1408.48,1423.91,5518.86,535.86,547.28,578.89,592.64,2254.67,1387.84,1418.27,1450.02,1507.09,5763.22,3257.21,3318.51,3437.38,3523.65,13536.75
Tanah Datar,1458.04,1375.70,1407.51,1405.38,5646.63,934.04,952.58,991.39,987.20,3865.22,2186.14,2303.20,2267.15,2203.70,8960.19,4578.22,4631.48,4666.05,4596.28,18472.04
Padang Pariaman,1861.78,1864.80,1869.25,1808.15,7403.99,1359.96,1360.24,1458.11,1432.13,5610.44,3565.75,3904.17,3741.98,3566.88,14778.78,6787.50,7129.21,7069.34,6807.16,27793.21
Agam,2393.13,2378.69,2427.59,2399.57,9598.98,1384.05,1404.37,1462.82,1409.75,5661.00,3492.79,3602.99,3580.87,3663.01,14339.66,7269.97,7386.06,7471.29,7472.33,29599.64
Lima Puluh Kota,2206.78,2188.58,2229.45,2320.91,8945.74,636.06,648.02,698.37,697.74,2680.18,2637.01,2740.58,2705.49,2777.38,10860.46,5479.85,5577.18,5633.32,5796.03,22486.38
Pasaman,1580.26,1556.31,1583.88,1581.38,6301.84,293.34,299.06,306.66,306.93,1205.99,1313.89,1373.07,1336.07,1378.92,5401.95,3187.49,3228.44,3226.61,3267.24,12909.78
Solok Selatan,774.72,770.02,775.87,805.35,3125.96,312.26,318.77,341.86,346.71,1319.60,915.54,937.95,926.14,932.01,3711.64,2002.53,2026.74,2043.87,2084.07,8157.20
Dharmasraya,1265.12,1305.44,1366.47,1343.99,5281.02,704.42,716.18,756.96,776.74,2954.30,1756.59,1804.93,1775.79,1827.19,7164.50,3726.12,3826.54,3899.22,3947.93,15399.82
Pasaman Barat,2381.99,2449.55,2660.68,2691.50,10183.72,1101.05,1118.23,1183.96,1185.39,4588.63,2017.38,2094.01,2035.54,2095.16,8242.09,5500.42,5661.79,5880.18,5972.05,23014.44
Kota Padang,1767.76,1849.56,1777.91,1934.01,7329.23,4527.89,4567.36,4838.89,4829.47,18763.61,15320.45,15842.20,15617.66,16114.27,62894.57,21616.10,22259.11,22234.46,22877.74,88987.41
Kota Solok,81.75,80.60,81.22,81.43,325.00,244.12,251.37,266.74,269.12,1031.35,1106.43,1145.14,1129.53,1141.86,4522.97,1432.30,1477.11,1477.49,1492.40,5879.31
Kota Sawah Lunto,167.62,165.04,160.99,172.40,666.05,304.58,304.11,331.80,323.70,1264.20,848.93,879.94,876.04,906.08,3510.98,1321.13,1349.09,1368.83,1402.19,5441.23
Kota Padang Panjang,67.97,68.04,67.23,66.42,269.66,217.25,217.26,231.66,237.24,903.41,948.39,979.99,973.35,992.86,3894.59,1233.61,1265.29,1272.24,1296.52,5067.66
Kota Bukittinggi,33.18,32.99,31.52,30.91,128.60,361.86,365.67,380.06,381.53,1489.11,2639.06,2724.10,2729.20,2709.98,10802.34,3034.10,3122.76,3140.77,3122.42,12420.04
Kota Payakumbuh,145.06,150.40,149.38,145.47,590.31,433.29,447.51,465.27,484.10,1830.17,1818.50,1867.41,1839.33,1867.25,7392.49,2396.85,2465.32,2453.98,2496.82,9812.97
Kota Pariaman,336.70,345.71,351.10,350.08,1383.58,375.99,383.63,414.53,408.94,1583.08,1042.83,1070.41,1078.38,1126.53,4318.15,1755.52,1799.74,1844.01,1885.55,7284.82
Kuantan Singingi,7931.69,8333.46,8459.03,8266.78,32990.96,4688.81,5089.89,5427.97,5362.42,20569.09,1120.39,1292.08,1242.13,1250.75,4905.36,13740.90,14715.44,15129.13,14879.95,58465.42
Indragiri Hulu,6642.90,6498.20,6599.99,6732.16,26473.25,6485.83,6395.24,7384.73,7121.57,27387.37,2796.89,2894.62,2933.73,3142.51,11767.76,15925.62,15788.06,16918.45,16996.24,65628.37
Indragiri Hilir,12207.31,11155.31,13068.06,13362.54,49793.21,8035.40,8489.18,8915.67,8197.92,33638.18,5079.91,5499.45,5186.94,5493.08,21259.38,25322.62,25143.94,27170.68,27053.54,104690.77
Pelalawan,8878.98,8708.53,9421.86,8910.19,35919.56,10540.27,10717.72,11285.46,11564.61,44108.06,1195.99,1275.82,1214.73,1309.00,4995.54,20615.23,20702.07,21922.05,21783.79,85023.15
Siak,15310.05,14531.99,15752.15,15346.20,60940.39,15210.08,15584.98,16408.74,16572.15,63775.95,1685.31,1825.34,1745.32,1811.70,7067.67,32205.44,31942.32,33906.21,33730.04,131784.01
Kampar,18487.46,17611.55,19007.59,18876.95,73983.55,10126.69,10308.95,11310.36,11204.82,42950.82,2302.60,2434.99,2287.33,2522.52,9547.45,30916.75,30355.49,32605.27,32604.29,126481.81
Rokan Hulu,9310.14,9381.92,10093.73,10038.95,38824.75,4515.41,4752.86,5046.69,4962.39,19277.36,1620.80,1831.70,1787.54,1942.91,7182.94,15446.35,15966.48,16927.96,16944.24,65285.04
Bengkalis,31115.28,28696.66,29410.04,28558.80,117780.78,9020.83,9571.57,9875.75,9320.75,37788.89,4634.76,4789.02,4864.16,4892.67,19180.60,44770.86,43057.25,44149.95,42772.22,174750.27
Rokan Hilir,19539.08,18806.83,19375.13,18290.03,76011.08,5749.67,6161.92,6496.62,6527.65,24935.86,1715.50,1846.99,1751.24,1867.66,7181.40,27004.26,26815.74,27622.99,26685.34,108128.34
Kepulauan Meranti,4110.27,3820.81,4049.95,4117.84,16098.88,2223.76,2176.75,2405.14,2568.92,9374.58,987.99,1099.37,975.59,1055.43,4118.37,7322.01,7096.94,7430.68,7742.19,29591.83
Kota Pekanbaru,711.34,699.51,730.77,732.44,2874.07,22618.25,22822.83,24189.77,25534.17,95165.02,20878.90,22713.62,20278.58,22621.66,86492.76,44208.49,46235.97,45199.12,48888.27,184531.85
Kota Dumai,855.57,809.37,813.95,706.04,3184.92,10245.43,9878.58,10302.27,11267.53,41693.81,3080.22,3297.65,3050.91,3388.63,12817.41,14181.22,13985.60,14167.12,15362.21,57696.15
Kerinci,2004.20,2088.42,2134.57,2073.94,8301.14,484.77,515.24,526.61,560.95,2087.56,1261.93,1356.02,1372.94,1430.64,5421.53,3750.91,3959.68,4034.11,4065.53,15810.23
Merangin,3694.42,3870.08,3945.99,3987.35,15497.83,852.47,895.76,916.48,959.02,3623.71,2040.20,2208.50,2220.02,2282.19,8750.91,6587.09,6974.33,7082.48,7228.56,27872.46
Sarolangun,3146.06,3270.87,3401.14,3475.44,13293.51,891.69,939.44,978.52,988.61,3798.27,1752.30,1899.23,1946.39,1958.93,7556.85,5790.05,6109.54,6326.05,6422.98,24648.62
Batang Hari,3798.50,4101.51,4198.27,4326.09,16424.38,1020.86,1068.44,1087.11,1122.36,4298.77,1868.17,1967.60,2014.01,2031.47,7881.25,6687.54,7137.55,7299.39,7479.92,28604.40
Muaro Jambi,6031.54,6305.00,6648.81,6721.58,25706.94,2000.40,2196.77,2241.96,2311.45,8750.57,2220.80,2414.26,2404.46,2448.34,9487.85,10252.74,10916.03,11295.23,11481.37,43945.36
Tanjung Jabung Timur,4598.43,4695.87,4885.84,4902.32,19082.45,942.89,992.91,1016.84,1055.87,4008.51,1772.64,1951.23,1977.41,2012.11,7713.38,7313.95,7640.01,7880.09,7970.29,30804.34
Tanjung Jabung Barat,9384.87,9547.44,9815.77,9810.70,38558.77,3108.31,3391.84,3439.42,3436.27,13375.85,2328.44,2487.24,2515.93,2556.76,9888.37,14821.62,15426.52,15771.13,15803.72,61822.99
Tebo,3621.17,3755.96,3799.29,3851.40,15027.82,682.47,727.93,753.60,776.99,2940.99,1638.52,1704.12,1733.61,1778.77,6855.02,5942.16,6188.01,6286.50,6407.16,24823.83
Bungo,2763.28,2929.06,2998.02,3072.59,11762.94,1207.27,1229.81,1277.53,1319.73,5034.34,2939.89,3152.45,3187.42,3211.02,12490.77,6910.45,7311.32,7462.97,7603.33,29288.06
Kota Jambi,262.30,257.33,261.77,260.07,1041.47,2090.36,2161.31,2252.35,2312.91,8816.93,8700.39,9408.01,9509.43,9626.64,37244.48,11053.05,11826.65,12023.55,12199.63,47102.89
Kota Sungai Penuh,158.68,169.24,172.96,169.71,670.58,290.36,288.67,299.64,292.02,1170.70,2197.97,2307.76,2315.84,2416.06,9237.63,2647.01,2765.68,2788.44,2877.79,11078.92
Ogan Komering Ulu,1554.55,1643.45,1752.49,1673.20,6623.69,1556.84,1628.26,1672.29,1696.37,6553.76,2171.79,2239.71,2317.69,2350.24,9079.43,5283.18,5511.42,5742.47,5719.81,22256.88
Ogan Komering Ilir,5787.57,5632.47,6320.97,5544.72,23285.73,4066.52,4369.00,4480.98,4430.13,17346.63,2428.80,2615.24,2609.93,2674.23,10328.20,12282.89,12616.71,13411.88,12649.07,50960.56
Muara Enim,21326.74,24996.36,27043.49,23857.43,97224.02,4089.36,4266.56,4373.83,4183.52,16913.27,3316.54,3625.66,3698.07,3418.77,14059.04,28732.64,32888.57,35115.39,31459.72,128196.33
Lahat,4631.81,5666.50,5756.29,5666.03,21720.62,844.83,889.18,928.90,936.87,3599.78,1702.36,1770.11,1771.40,1837.39,7081.25,7178.99,8325.79,8456.58,8440.28,32401.65
Musi Rawas,3750.07,4072.88,4126.38,4030.89,15980.23,1373.71,1380.89,1375.36,1440.29,5570.25,1389.88,1390.15,1411.04,1491.19,5682.26,6513.66,6843.92,6912.77,6962.38,27232.74
Musi Banyuasin,14669.98,14393.71,14926.64,15506.76,59497.09,4917.65,5090.42,5211.24,5477.31,20696.62,4371.27,4744.92,4708.59,4919.22,18744.01,23958.91,24229.06,24846.47,25903.28,98937.71
Banyu Asin,4362.06,4178.70,4186.21,3622.17,16349.14,3953.66,4082.77,4199.00,4358.33,16593.76,2584.37,2806.95,2544.17,2885.20,10820.70,10900.09,11068.42,10929.38,10865.71,43763.60
Ogan Komering Ulu Selatan,980.30,995.60,1163.04,906.73,4045.67,772.41,810.19,813.58,857.38,3253.57,1311.28,1338.74,1397.20,1454.94,5502.17,3063.99,3144.54,3373.82,3219.06,12801.41
Ogan Komering Ulu Timur,1829.89,2061.30,2239.30,1702.23,7832.72,1491.49,1563.94,1574.73,1546.96,6177.12,1993.71,2173.37,2198.33,2166.26,8531.67,5315.10,5798.61,6012.36,5415.45,22541.51
Ogan Ilir,964.66,997.83,1171.30,1124.04,4257.83,1071.56,1144.05,1189.55,1173.61,4578.78,1755.41,1873.22,1898.27,1960.77,7487.67,3791.63,4015.10,4259.11,4258.43,16324.27
Empat Lawang,657.84,741.32,733.62,679.34,2812.12,388.78,402.92,420.60,430.59,1642.89,689.93,719.48,741.19,775.54,2926.14,1736.54,1863.73,1895.40,1885.48,7381.15
Penukal Abab Lematang Ilir,1395.69,1343.65,1455.69,1442.26,5637.29,424.26,460.75,466.35,466.70,1818.06,678.85,714.82,732.02,758.85,2884.54,2498.81,2519.22,2654.06,2667.81,10339.89
Musi Rawas Utara,1610.42,1751.36,1862.77,1802.09,7026.63,282.07,279.22,278.58,297.21,1137.08,457.90,474.77,479.60,496.62,1908.89,2350.39,2505.35,2620.94,2595.92,10072.60
Kota Palembang,196.78,208.42,257.21,201.29,863.70,25821.54,26638.24,26884.28,27016.58,106360.64,28310.14,29421.26,30322.63,31187.74,119241.78,54328.46,56267.92,57464.13,58405.61,226466.13
Kota Prabumulih,381.62,393.89,404.98,387.85,1568.34,771.81,785.78,801.86,823.88,3183.32,1586.09,1647.35,1648.57,1703.08,6585.09,2739.52,2827.02,2855.41,2914.80,11336.75
Kota Pagar Alam,254.87,284.18,277.03,280.60,1096.68,170.78,177.88,179.82,181.79,710.28,555.25,585.29,597.93,625.50,2363.98,980.91,1047.34,1054.78,1087.90,4170.93
Kota Lubuklinggau,138.73,145.07,140.24,146.23,570.27,644.57,654.68,657.99,686.34,2643.58,1470.59,1537.19,1557.00,1608.16,6172.95,2253.89,2336.94,2355.24,2440.74,9386.80
Bengkulu Selatan,747.32,795.34,783.42,827.19,3153.27,161.60,178.92,190.24,192.59,723.35,1080.16,1187.57,1173.50,1189.74,4630.96,1989.08,2161.83,2147.16,2209.51,8507.58
Rejang Lebong,1147.64,1230.59,1182.16,1207.53,4767.93,260.75,291.85,297.82,305.63,1156.05,1899.27,2078.73,2031.06,2093.47,8102.54,3307.67,3601.17,3511.04,3606.64,14026.51
Bengkulu Utara,1883.47,1705.22,1796.45,1890.89,7276.03,354.86,399.19,403.27,428.21,1585.53,1127.06,1226.48,1213.03,1248.33,4814.90,3365.39,3330.89,3412.75,3567.42,13676.46
Kaur,700.44,765.03,745.34,782.68,2993.50,127.67,139.92,146.28,148.25,562.13,434.20,473.58,456.12,470.75,1834.65,1262.31,1378.53,1347.75,1401.69,5390.27
Seluma,857.60,904.27,860.22,889.13,3511.22,222.05,249.11,250.47,261.66,983.30,552.57,603.10,591.63,609.57,2356.86,1632.22,1756.48,1702.32,1760.36,6851.38
Mukomuko,990.92,1089.24,1071.86,1111.65,4263.67,277.99,315.32,316.11,321.02,1230.45,658.27,732.79,694.39,726.86,2812.31,1927.18,2137.35,2082.37,2159.53,8306.43
Lebong,579.91,604.41,591.52,619.61,2395.45,160.26,178.34,185.73,189.64,713.97,428.42,472.59,453.35,467.38,1821.74,1168.59,1255.34,1230.60,1276.63,4931.15
Kepahiang,766.02,815.63,805.28,863.15,3250.08,195.13,214.96,221.81,228.72,860.63,652.15,709.31,681.26,704.93,2747.65,1613.30,1739.91,1708.35,1796.81,6858.36
Bengkulu Tengah,903.46,775.33,853.98,946.41,3479.18,293.15,326.33,323.76,344.11,1287.35,579.30,623.41,592.98,612.93,2408.62,1775.91,1725.07,1770.72,1903.44,7175.14
Kota Bengkulu,658.60,728.09,712.91,719.45,2819.04,630.42,697.12,720.58,725.92,2774.03,7082.18,7785.05,7227.03,8036.96,30131.21,8371.19,9210.25,8660.52,9482.32,35724.28
Lampung Barat,1114.03,1264.21,1360.28,1246.47,4984.99,251.22,275.55,292.23,306.56,1125.55,1133.53,1160.53,1166.09,1202.32,4662.48,2498.78,2700.29,2818.60,2755.35,10773.02
